HEALTH               ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,43,Unnamed: 13,Unnamed: 14
Taichung City ,,18499,656.6592306342056,5506,195.4465497525237,1629,57.82463304519817,1316,46.71406819366531,1127,40.005132867979334,1304,,
Tainan City ,,15972,854.8088079773593,4731,253.1993783208669,1718,91.9460012587718,1222,65.40047353796224,1117,59.78095658093603,1021,,
Kaohsiung City ,,23002,834.8239391444488,6651,241.38831489651895,2220,80.5716522433126,1740,63.15075446097474,1603,58.17853988559914,1517,,
Yilan County,,4143,916.8170537266301,1193,264.0025935543977,594,131.44806418383254,325,71.92023713761883,312,69.04342765211406,158,,
Hsinchu County,,3963,691.4088567677552,985,171.8490345486346,369,64.37796319639205,242,42.22077803123814,310,54.08446772596621,295,,
Miaoli County,,5367,993.1826256883994,1388,256.8543850299047,645,119.35956653046722,307,56.811452596672,422,78.09261562148399,445,,
Changhua County,,10834,859.1593973037272,3026,239.96827914353688,1249,99.04837430610627,927,73.51308485329103,665,52.735923869944486,598,,
Nantou County,,5112,1047.8319287425095,1225,251.0943099979605,586,120.11531890514682,477,97.77304968900177,348,71.3312815341145,307,,
Yunlin County,,7364,1093.3886659663476,1988,295.173366097379,1030,152.93187478888348,651,96.65888396850791,475,70.52683546089287,558,,
Chiayi County,,5786,1165.595786449798,1626,327.55941043335145,623,125.50400535053994,406,81.78912708237434,406,81.78912708237434,362,,
Pingtung County,,8618,1065.8599540658636,2299,284.3365089809028,883,109.20797626365254,696,86.08012625085183,635,78.53574736967086,561,,
Taitung County,,2391,1115.6032819546153,632,294.881335924432,519,242.1572995961712,162,75.58667155024997,153,71.38741201968053,87,,
Hualien County,,3234,1001.6570393198396,840,260.1706595635947,382,118.31570470630139,190,58.848125377479754,247,76.50256299072367,234,,
Penghu County,,987,929.8513368379402,266,250.59823262299096,146,137.54639835698,63,59.352212989655754,61,57.468015751888906,55,,
Keelung City ,,3244,886.8791640808471,852,232.92880634922372,363,99.24079425442278,261,71.35495124078332,176,48.116748729417104,310,,
Hsinchu City ,,2766,611.9117041940066,795,175.8748390579303,292,64.59805409423352,168,37.16600372544942,200,44.24524253029693,157,,
Chiayi City ,,2075,781.9389070189851,614,231.3785488721238,187,70.46871113857841,144,54.26467595698017,178,67.07716889126715,123,,
"  Kinmen & 
  Lienchiang Area",,,,,,,,,,,,,,
Kinmen County,,750,531.6584909405393,256,181.4727649077041,85,60.25462897326112,44,31.19063146851164,42,29.772875492670202,40,,
Lienchiang County,,67,497.69722180953795,18,133.70970138166692,8,59.42653394740752,4,29.71326697370376,4,29.71326697370376,2,,
By sex,,,,,,,,,,,,,,
  Male,,107064,920.883170172826,31121,267.679193183036,12639,108.711073636464,8058,69.30879273381,7083,60.9225836353408,5778,,
  Female,,77108,651.137563281408,20535,173.407556440106,9213,77.799065862318,5491,46.3686823673057,5099,43.0584431598783,5672,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note: 1. Data do not include Kinmen County and Lienchiang County before 1994.,,,,,,,,,,,,,,
"　　   2. Crude death rate is number of deaths per 100,000 population.",,,,,,,,,,,,,,
"　　   3. From 2008, the classification standards of leading causes of death are based on the tenth revision of the International Statistical Classification of Diseases ",,,,,,,,,,,,,,
"　　　   and Related Health Problems (ICD) by the World Health Organization. Besides, the 2016 ICD-10 criteria for selection of cause of death was adopted from  ",,,,,,,,,,,,,,
"　　　   2019, so the historical data in the table could not be directly compared with the data after 2018.",,,,,,,,,,,,,,
Source: Ministry of Health and Welfare,,,,,,,,,,,,,,
